steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
4372480	8540	-2.2034292038413694	2.670862146118656	434.5433088989258	0.027874739545131505	2819.1010067749025	-0.007188064781948924	682880
4382720	8560	-2.261928290956188	2.6917047278676183	427.2274444885254	0.027689170857992967	3049.0474810791015	-0.0008511737920343876	684800
4392960	8580	-2.299042145976797	2.7048815433774145	447.8931383972168	0.031970348735339015	2944.5806311035158	-0.006659517642110586	686080
4403200	8600	-2.230333824997302	2.723398869732395	446.2881428527832	0.03168763040441566	2939.7303860473635	-0.00657766642048955	688000
4413440	8620	-2.3558044421174564	2.7351478793416173	424.31590588378907	0.018722885550843223	2673.0770718383787	-0.006659029796719551	689280
4423680	8640	-2.2594914234816095	2.7519540930781514	407.7810786743164	0.029207252505879175	2634.38435546875	-0.0027942598331719636	691200
4433920	8660	-2.2542662251037546	2.7723147369418295	378.0804909973144	0.033041514018163076	2453.959433898926	-0.0008688886649906635	692480
4444160	8680	-2.118536930688191	2.820668463686481	376.39219338989255	0.02712931863180725	2215.9087466430665	-0.001739096362143755	694400
4454400	8700	-2.038292534131091	2.8317207214627413	362.13582070922854	0.03163837709241281	2084.6575662231444	0.003014121763408184	695680
4464640	8720	-1.9541952925301156	2.8476799100432544	380.7256585998535	0.029404459291963662	2172.6976727294923	-0.011931756269186735	697600
4474880	8740	-1.9969214552938939	2.858069898882881	373.7423095397949	0.02903632274891789	2219.799123077393	-0.00024370327591896057	698880
4485120	8760	-2.292279468573164	2.874336752453819	382.00450762939454	0.0248337194568118	2384.905809020996	-0.0006203592196106911	700800
4495360	8780	-2.342656232390087	2.885963123718277	415.4600629272461	0.022632058566688932	2459.36143371582	-0.012793708555400372	702080
4505600	8800	-2.155878176315222	2.903905626917258	437.771377746582	0.02327387215346055	2995.4610766601563	-0.0027530595380812883	704000
4515840	8820	-2.381881000778172	2.9153393797371536	456.4019250488281	0.020292964179264114	3023.124288635254	-0.004695166479796171	705280
4526080	8840	-2.4277492641140705	2.9334536475650967	472.0280305480957	0.02155544075463251	3444.597876586914	-0.0024442046880722044	707200
4536320	8860	-2.4048741631996817	2.945314456194639	478.2237104797363	0.02486699832898877	3487.407499084473	-0.0013350722566246986	708480
4546560	8880	-2.114053045627661	2.962015632942319	494.5545278625488	0.023307526724111235	3597.2458831787108	-0.0002066826820373535	710400
4556800	8900	-2.2982030875813217	2.971670852705836	480.81859408569335	0.017673173117637064	3124.425178527832	-0.002883428428322077	711680
4567040	8920	-2.319340088037774	2.986564967557788	437.80552267456056	0.021497819533936195	2978.559053649902	0.0014647040329873562	713600
4577280	8940	-2.2526124009559862	2.9965010222047566	454.3455936279297	0.022766045782100654	3360.879655456543	-0.0015159990265965462	714880
4587520	8960	-2.292137542867102	3.0103514889925718	447.0856972961426	0.03023175470156204	2921.7599676513673	-0.010989671424031257	716800
4597760	8980	-2.266904697566759	3.019609868571162	438.7177566833496	0.01612298149286378	3008.6952978515624	0.0026036612316966056	718080
4608000	9000	-2.2640738407284955	3.033712576255202	449.539879486084	0.023560865970947777	2998.4802795410155	-0.003988248724490404	720000
4618240	9020	-2.373014513898641	3.0429136751145123	449.62172430419923	0.016445386357472037	3181.581467590332	0.0010671868920326232	721280
4628480	9040	-2.319647524556145	3.0573959819525482	461.8285073242188	0.017891069257724938	3592.4101470947267	0.011889131562784315	723200
4638720	9060	-2.370914097671397	3.0669678981155157	469.1448458251953	0.015446344778046264	3484.340640258789	0.000399050060659647	724480
4648960	9080	-2.431278720460832	3.0808483383506537	475.07993838500977	0.017102465285133043	3585.986671142578	0.0018196009378880261	726400
4659200	9100	-2.364276770579163	3.089824319705367	471.2034041442871	0.01818985321124596	3410.2243280029297	-0.0016811781004071236	727680
4669440	9120	-2.1737153352811003	3.1027769892066717	465.5271780395508	0.022860842286752767	3199.582016296387	-0.001309549417346716	729600
4679680	9140	-2.2943418191326783	3.111131600961089	458.0921098937988	0.015826504019468432	3300.301713256836	-0.0003352613840252161	730880
4689920	9160	-2.2358251997455953	3.124008340343833	448.0664395751953	0.020257470733755476	3175.3116912841797	0.0006620456464588642	732800
4700160	9180	-2.2895887572593057	3.1320796424001456	452.8444789123535	0.015474992615760023	3130.811126098633	-0.005399672538042069	734080
4710400	9200	-2.285051024561282	3.1444116489738225	455.4292203979492	0.017262600690823766	3206.1003469848633	-0.006674606278538704	736000
4720640	9220	-2.315627235154156	3.1526037870496513	454.25774673461916	0.013666401917536165	3146.72233215332	-0.003983723949640989	737280
4730880	9240	-2.239525622881949	3.1807492352575064	442.76312115478515	0.016627585053525303	3314.6493655395507	-0.002232777527533472	739200
4741120	9260	-2.3485096809687094	3.2014286776632073	472.1912505187988	0.011193740821621303	3215.5290490722655	-0.0060704498831182716	740480
4751360	9280	-2.2705110731609164	3.2254734116643666	481.3469669494629	0.006716893693355246	3731.0092330932616	0.006914549339562655	742400
4761600	9300	-2.277121922473423	3.23678653845191	463.1893590393066	0.01380907732569234	3473.0528106689453	-0.0026159777492284777	743680
4771840	9320	-2.4361707802959716	3.251730360329151	479.683766418457	0.011641293281433126	3564.558725280762	-0.0006745753157883882	745600
4782080	9340	-2.2613418735512534	3.259197178423405	469.80934262084963	0.013060299548350212	3855.3789263916015	-0.0020402976125478743	746880
4792320	9360	-2.2267842530789785	3.2698453378081322	483.9400857849121	0.013871137465180742	3608.9818069458006	-0.0027414657175540923	748800
4802560	9380	-2.5114921409003435	3.2781749013066293	481.4367377624512	0.011716978010703354	3558.9373022460936	-0.002034899313002825	750080
4812800	9400	-2.4395058347997254	3.292629122674465	513.1915202941894	0.010004836478365971	4081.0045169067384	0.0013156488351523876	752000
4823040	9420	-2.3716406270931474	3.3025497880578043	491.41535623168943	0.021050065447272764	3607.96466796875	-0.009997534528374673	753280
4833280	9440	-2.209905444681179	3.318186324238777	490.9104356384277	0.021018101491902242	3966.8460781860354	-0.0015781467780470848	755200
4843520	9460	-2.4094028298845513	3.328171047568321	490.36551766967773	0.012231330447704273	3936.598059692383	-0.0008204937260597945	756480
4853760	9480	-2.400715047067031	3.3433796850442885	486.840626953125	0.023660329695134732	3754.228200683594	0.0015309059619903565	758400
4864000	9500	-2.3616027679620313	3.3535459229946136	525.1234749145508	0.019010188306697477	4074.0675134277344	-0.000625588744878769	759680
4874240	9520	-2.164438123287633	3.368529697537422	539.5685088195801	0.026481618776731112	3944.5459860229494	0.0009371033497154713	761600
4884480	9540	-2.196627173751127	3.3780979208946227	510.3714052734375	0.024649258747642348	3761.1190252685547	-0.0042044371739029885	762880
4894720	9560	-2.398453033342492	3.391766611933708	489.8982493591309	0.02373632714883732	3652.599620361328	-0.0023839723132550714	764800
4904960	9580	-2.3002858246476388	3.4006651295423507	465.852360748291	0.017981354908140262	3764.3010632324217	0.0029557354561984537	766080
4915200	9600	-2.322495331016369	3.41418912255764	468.64104663085936	0.015216995279268924	3008.4263833618165	-0.01109440580010414	768000
4925440	9620	-2.39447799146967	3.4232434670925143	455.271433013916	0.022508541404299448	3340.0114764404298	6.520189344882965e-07	769280
4935680	9640	-2.3347458368493244	3.436191668331623	455.35684286499026	0.015724983549479425	3128.4776416015625	-0.003534462209790945	771200
4945920	9660	-2.386353273699526	3.4449527294039726	455.9483785400391	0.01942233120388748	2960.2806610107423	-0.01355246472172439	772480
4956160	9680	-2.341835334122181	3.4581387082338333	448.14619039916994	0.02322669890654029	3103.958118286133	0.009055047519505024	774400
